id,origin,name,code,valid_from,valid_to,usage_date
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-FLZF-5EH8","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-FPZF-PKEP","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-FZZF-KDGP","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-FHZF-5C9C","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-K8ZF-W88L","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KGZF-PCXD","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KFZF-ELZZ","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KKZF-G8DK","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KNZF-5CFN","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KCZF-GK8L","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-K5ZF-XE95","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KDZF-CFNK","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KXZF-HWCH","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KWZF-EPEN","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KEZF-XCEG","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-K9ZF-9LFP","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KLZF-ZECH","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KPZF-ZGHG","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KZZF-NNPE","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-KHZF-PZ95","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-N8ZF-5Z5Z","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-NGZF-LHFP","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-NFZF-NZF8","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-NKZF-XEEL","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-NNZF-5WWL","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-NCZF-9NDF","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-N5ZF-HW59","2019-05-01","2019-12-31",""
welcome,"sconto_cz","Sleva 30% na prvni nakup","SC-NDZF-KLHX","2019-05-01","2019-12-31",""
